paridadeCompra,paridadeVenda,cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
"1,44121","1,44799","3,47043","3,494",2002-01-11 13:30:00.0,Intermediário
"1,43991","1,44669","3,4673","3,49086",2002-01-11 14:00:00.0,Intermediário
"1,44121","1,44799","3,47043","3,494",2002-01-11 14:30:00.0,Intermediário
"1,44161","1,44839","3,4714","3,49062",2002-01-11 15:00:00.0,Intermediário
"1,44261","1,44939","3,46948","3,48868",2002-01-11 15:30:00.0,Intermediário
"1,44331","1,45009","3,46394","3,48457",2002-01-11 16:00:00.0,Intermediário
"1,44381","1,4506","3,46514","3,48579",2002-01-11 16:30:00.0,Fechamento Interbancário
"1,44648","1,44892","3,4947","3,50175",2002-01-11 18:06:00.0,Fechamento
"1,4476","1,4544","3,48148","3,51238",2002-01-14 09:44:00.0,Abertura
"1,4467","1,4535","3,47787","3,49712",2002-01-14 10:00:00.0,Intermediário
"1,4472","1,454","3,49499","3,51432",2002-01-14 10:30:00.0,Intermediário
"1,4455","1,4523","3,47787","3,49714",2002-01-14 11:00:00.0,Intermediário
"1,4468","1,4536","3,48389","3,50318",2002-01-14 11:30:00.0,Intermediário
"1,446","1,4528","3,47618","3,49544",2002-01-14 12:00:00.0,Intermediário
"1,4472","1,454","3,48341","3,50123",2002-01-14 12:30:00.0,Intermediário
"1,4481","1,4549","3,48558","3,50485",2002-01-14 13:00:00.0,Intermediário
"1,4466","1,4534","3,48197","3,50124",2002-01-14 13:30:00.0,Intermediário
"1,4461","1,4529","3,48076","3,50004",2002-01-14 14:00:00.0,Intermediário
"1,4456","1,4524","3,47956","3,49883",2002-01-14 14:30:00.0,Intermediário
"1,4452","1,452","3,46848","3,4877",2002-01-14 15:00:00.0,Intermediário
"1,4463","1,4531","3,461","3,48017",2002-01-14 15:30:00.0,Intermediário
"1,4458","1,4526","3,46269","3,48479",2002-01-14 16:00:00.0,Intermediário
"1,4465","1,4533","3,46147","3,48211",2002-01-14 16:30:00.0,Fechamento Interbancário
"1,44798","1,45042","3,48442","3,49145",2002-01-14 17:49:00.0,Fechamento
"1,44261","1,44939","3,44062","3,47129",2002-01-15 09:38:00.0,Abertura
"1,44331","1,45009","3,43508","3,45846",2002-01-15 10:00:00.0,Intermediário
"1,44311","1,44989","3,43893","3,45799",2002-01-15 10:30:00.0,Intermediário
"1,44221","1,44899","3,42813","3,4486",2002-01-15 11:00:00.0,Intermediário
"1,44361","1,4504","3,42136","3,44035",2002-01-15 11:30:00.0,Intermediário
"1,44311","1,44989","3,41584","3,43479",2002-01-15 12:00:00.0,Intermediário
"1,44351","1,45029","3,41968","3,43719",2002-01-15 12:30:00.0,Intermediário
"1,44261","1,44939","3,41033","3,42926",2002-01-15 13:00:00.0,Intermediário
"1,44331","1,45009","3,41198","3,43091",2002-01-15 13:30:00.0,Intermediário
"1,44121","1,44799","3,40702","3,42594",2002-01-15 14:00:00.0,Intermediário
"1,44161","1,44839","3,40797","3,42689",2002-01-15 14:30:00.0,Intermediário
"1,44191","1,44869","3,40002","3,41891",2002-01-15 15:00:00.0,Intermediário
"1,44151","1,44829","3,41205","3,43245",2002-01-15 15:30:00.0,Intermediário
"1,43932","1,44609","3,41407","3,43302",2002-01-15 16:00:00.0,Intermediário
"1,43782","1,44458","3,41051","3,43088",2002-01-15 16:30:00.0,Fechamento Interbancário
"1,44048","1,44292","3,41351","3,42044",2002-01-15 17:56:00.0,Fechamento
"1,43353","1,44027","3,40177","3,43216",2002-01-16 09:33:00.0,Abertura
"1,43253","1,43927","3,41802","3,43842",2002-01-16 10:00:00.0,Intermediário
"1,43303","1,43977","3,43067","3,44969",2002-01-16 10:30:00.0,Intermediário
"1,43403","1,44078","3,4216","3,44202",2002-01-16 11:00:00.0,Intermediário
"1,43423","1,44098","3,42494","3,44394",2002-01-16 11:30:00.0,Intermediário
"1,43413","1,44088","3,43187","3,44947",2002-01-16 12:00:00.0,Intermediário
"1,43502","1,44178","3,42539","3,44441",2002-01-16 12:30:00.0,Intermediário
"1,43463","1,44138","3,42877","3,44922",2002-01-16 13:00:00.0,Intermediário
"1,43522","1,44198","3,43018","3,44922",2002-01-16 13:30:00.0,Intermediário
"1,43542","1,44218","3,43065","3,44969",2002-01-16 14:00:00.0,Intermediário
"1,43502","1,44178","3,4297","3,44874",2002-01-16 14:30:00.0,Intermediário
"1,43443","1,44118","3,41394","3,43433",2002-01-16 15:00:00.0,Intermediário
"1,43343","1,44017","3,39436","3,4132",2002-01-16 15:30:00.0,Intermediário
"1,43223","1,43897","3,38436","3,40316",2002-01-16 16:00:00.0,Intermediário
"1,43273","1,43947","3,38554","3,40435",2002-01-16 16:30:00.0,Fechamento Interbancário
"1,43608","1,43852","3,42634","3,43332",2002-01-16 18:12:00.0,Fechamento
"1,43093","1,43767","3,36555","3,39578",2002-01-17 09:51:00.0,Abertura
"1,43143","1,43817","3,37674","3,39552",2002-01-17 10:00:00.0,Intermediário
"1,43103","1,43777","3,38009","3,39889",2002-01-17 10:30:00.0,Intermediário
"1,43063","1,43737","3,38344","3,40082",2002-01-17 11:00:00.0,Intermediário
"1,43153","1,43827","3,39129","3,41158",2002-01-17 11:30:00.0,Intermediário
"1,43173","1,43847","3,39177","3,41061",2002-01-17 12:00:00.0,Intermediário
"1,43373","1,44048","3,39077","3,40818",2002-01-17 12:30:00.0,Intermediário
"1,43413","1,44088","3,38455","3,4048",2002-01-17 13:00:00.0,Intermediário
"1,43522","1,44198","3,38712","3,40596",2002-01-17 13:30:00.0,Intermediário
"1,43363","1,44038","3,38337","3,40218",2002-01-17 14:00:00.0,Intermediário
"1,43482","1,44158","3,38618","3,40501",2002-01-17 14:30:00.0,Intermediário
"1,43233","1,43907","3,37743","3,39621",2002-01-17 15:00:00.0,Intermediário
"1,43213","1,43887","3,37983","3,39861",2002-01-17 15:30:00.0,Intermediário
"1,43143","1,43817","3,41396","3,43723",2002-01-17 16:00:00.0,Intermediário
"1,43223","1,43897","3,40728","3,42619",2002-01-17 16:30:00.0,Fechamento Interbancário
"1,43508","1,43752","3,39152","3,39844",2002-01-17 17:49:00.0,Fechamento
"1,43283","1,43957","3,41014","3,44057",2002-01-18 09:35:00.0,Abertura
"1,43273","1,43947","3,41849","3,43745",2002-01-18 10:00:00.0,Intermediário
"1,43173","1,43847","3,40609","3,42644",2002-01-18 10:30:00.0,Intermediário
"1,43153","1,43827","3,39129","3,41158",2002-01-18 11:00:00.0,Intermediário
"1,43173","1,43847","3,40036","3,41924",2002-01-18 11:30:00.0,Intermediário
"1,42973","1,43647","3,3856","3,403",2002-01-18 12:00:00.0,Intermediário
"1,42983","1,43657","3,38584","3,40323",2002-01-18 12:30:00.0,Intermediário
"1,42973","1,43647","3,38846","3,40731",2002-01-18 13:00:00.0,Intermediário
"1,43273","1,43947","3,39557","3,41442",2002-01-18 13:30:00.0,Intermediário
"1,43283","1,43957","3,39581","3,41466",2002-01-18 14:00:00.0,Intermediário
"1,43293","1,43967","3,39604","3,4149",2002-01-18 14:30:00.0,Intermediário
"1,43383","1,44058","3,40248","3,42138",2002-01-18 15:00:00.0,Intermediário
"1,43453","1,44128","3,39984","3,41872",2002-01-18 15:30:00.0,Intermediário
"1,43532","1,44208","3,39453","3,41485",2002-01-18 16:00:00.0,Intermediário
"1,43482","1,44158","3,39191","3,41078",2002-01-18 16:30:00.0,Fechamento Interbancário
"1,43838","1,44082","3,41529","3,42224",2002-01-18 17:34:00.0,Fechamento
"1,43233","1,43907","3,38316","3,41347",2002-01-21 09:41:00.0,Abertura
"1,43203","1,43877","3,39105","3,41132",2002-01-21 10:00:00.0,Intermediário
"1,43253","1,43927","3,40083","3,41971",2002-01-21 10:30:00.0,Intermediário
"1,43363","1,44038","3,402","3,4209",2002-01-21 11:00:00.0,Intermediário
"1,43253","1,43927","3,39653","3,41539",2002-01-21 11:30:00.0,Intermediário
"1,43253","1,43927","3,40083","3,41971",2002-01-21 12:00:00.0,Intermediário
"1,43333","1,44007","3,40846","3,42737",2002-01-21 12:30:00.0,Intermediário
"1,43263","1,43937","3,39963","3,4185",2002-01-21 13:00:00.0,Intermediário
"1,43213","1,43887","3,39844","3,41732",2002-01-21 13:30:00.0,Intermediário
"1,43373","1,44048","3,40224","3,42114",2002-01-21 14:00:00.0,Intermediário
"1,43253","1,43927","3,39939","3,41827",2002-01-21 14:30:00.0,Intermediário
"1,43313","1,43987","3,39938","3,41825",2002-01-21 15:00:00.0,Intermediário
"1,43263","1,43937","3,39963","3,41994",2002-01-21 15:30:00.0,Intermediário
"1,43263","1,43937","3,3982","3,41706",2002-01-21 16:00:00.0,Intermediário
"1,43223","1,43897","3,39725","3,41611",2002-01-21 16:30:00.0,Fechamento Interbancário
"1,43558","1,43802","3,40721","3,41415",2002-01-21 18:10:00.0,Fechamento
"1,42654","1,43326","3,36378","3,39396",2002-01-22 09:32:00.0,Abertura
"1,42465","1,43136","3,37072","3,39089",2002-01-22 10:00:00.0,Intermediário
"1,42465","1,43136","3,36502","3,38374",2002-01-22 10:30:00.0,Intermediário
"1,42484","1,43156","3,3669","3,38707",2002-01-22 11:00:00.0,Intermediário
"1,42524","1,43196","3,36927","3,38802",2002-01-22 11:30:00.0,Intermediário
"1,42494","1,43166","3,36856","3,38731",2002-01-22 12:00:00.0,Intermediário
"1,42425","1,43096","3,36265","3,38279",2002-01-22 12:30:00.0,Intermediário
"1,42435","1,43106","3,37001","3,38732",2002-01-22 13:00:00.0,Intermediário
"1,42534","1,43206","3,37235","3,38969",2002-01-22 13:30:00.0,Intermediário
"1,42514","1,43186","3,37188","3,38921",2002-01-22 14:00:00.0,Intermediário
"1,42574","1,43246","3,3733","3,39063",2002-01-22 14:30:00.0,Intermediário
"1,42644","1,43316","3,3878","3,40662",2002-01-22 15:00:00.0,Intermediário
"1,42654","1,43326","3,38946","3,40973",2002-01-22 15:30:00.0,Intermediário
"1,42534","1,43206","3,38946","3,4083",2002-01-22 16:00:00.0,Intermediário
"1,42445","1,43116","3,38734","3,40616",2002-01-22 16:30:00.0,Fechamento Interbancário
"1,42729","1,42971","3,37683","3,38369",2002-01-22 17:54:00.0,Fechamento
"1,42494","1,43166","3,37996","3,41021",2002-01-23 09:47:00.0,Abertura
"1,42584","1,43256","3,39065","3,40949",2002-01-23 10:00:00.0,Intermediário
"1,42494","1,43166","3,38566","3,40306",2002-01-23 10:30:00.0,Intermediário
"1,42465","1,43136","3,38497","3,40377",2002-01-23 11:00:00.0,Intermediário
"1,42395","1,43066","3,38473","3,40354",2002-01-23 11:30:00.0,Intermediário
"1,42215","1,42885","3,38472","3,40352",2002-01-23 12:00:00.0,Intermediário
"1,42295","1,42965","3,38804","3,40686",2002-01-23 12:30:00.0,Intermediário
"1,42265","1,42935","3,38733","3,40614",2002-01-23 13:00:00.0,Intermediário
"1,42375","1,43046","3,39422","3,41308",2002-01-23 13:30:00.0,Intermediário
"1,42245","1,42915","3,39112","3,40995",2002-01-23 14:00:00.0,Intermediário
"1,42415","1,43086","3,39517","3,41403",2002-01-23 14:30:00.0,Intermediário
"1,42405","1,43076","3,40063","3,41952",2002-01-23 15:00:00.0,Intermediário
"1,42405","1,43076","3,40348","3,42238",2002-01-23 15:30:00.0,Intermediário
"1,42225","1,42895","3,38922","3,40805",2002-01-23 16:00:00.0,Intermediário
"1,41975","1,42645","3,38326","3,40208",2002-01-23 16:30:00.0,Fechamento Interbancário
"1,42369","1,42611","3,38781","3,39471",2002-01-23 17:41:00.0,Fechamento
"1,41896","1,42565","3,37712","3,4073",2002-01-24 09:38:00.0,Abertura
"1,41985","1,42655","3,38634","3,40803",2002-01-24 10:00:00.0,Intermediário
"1,42015","1,42685","3,4041","3,42301",2002-01-24 10:30:00.0,Intermediário
"1,41886","1,42555","3,40526","3,42417",2002-01-24 11:00:00.0,Intermediário
"1,41866","1,42535","3,41046","3,42939",2002-01-24 11:30:00.0,Intermediário
"1,41776","1,42444","3,40546","3,42435",2002-01-24 12:00:00.0,Intermediário
"1,41936","1,42605","3,4093","3,4268",2002-01-24 12:30:00.0,Intermediário
"1,41936","1,42605","3,40363","3,42252",2002-01-24 13:00:00.0,Intermediário
"1,41856","1,42524","3,40171","3,42058",2002-01-24 13:30:00.0,Intermediário
"1,41936","1,42605","3,40363","3,42252",2002-01-24 14:00:00.0,Intermediário
"1,42045","1,42715","3,40624","3,42516",2002-01-24 14:30:00.0,Intermediário
"1,41995","1,42665","3,39936","3,41968",2002-01-24 15:00:00.0,Intermediário
"1,41946","1,42615","3,41096","3,42989",2002-01-24 15:30:00.0,Intermediário
"1,41916","1,42585","3,39889","3,41776",2002-01-24 16:00:00.0,Intermediário
"1,41916","1,42585","3,40031","3,41919",2002-01-24 16:30:00.0,Fechamento Interbancário
"1,42319","1,42561","3,41181","3,41876",2002-01-24 17:40:00.0,Fechamento
"1,41117","1,41783","3,37975","3,40988",2002-01-25 09:52:00.0,Abertura
"1,40948","1,41613","3,38275","3,40296",2002-01-25 10:00:00.0,Intermediário
"1,41087","1,41753","3,39032","3,41058",2002-01-25 10:30:00.0,Intermediário
"1,41137","1,41803","3,39858","3,41745",2002-01-25 11:00:00.0,Intermediário
"1,41017","1,41683","3,3971","3,41881",2002-01-25 11:30:00.0,Intermediário
"1,41067","1,41733","3,39266","3,41293",2002-01-25 12:00:00.0,Intermediário
"1,41057","1,41723","3,39665","3,41552",2002-01-25 12:30:00.0,Intermediário
"1,40818","1,41482","3,3909","3,40972",2002-01-25 13:00:00.0,Intermediário
"1,40838","1,41502","3,39138","3,4102",2002-01-25 13:30:00.0,Intermediário
"1,40708","1,41372","3,38825","3,40707",2002-01-25 14:00:00.0,Intermediário
"1,40768","1,41432","3,38969","3,40851",2002-01-25 14:30:00.0,Intermediário
"1,40668","1,41332","3,39151","3,41175",2002-01-25 15:00:00.0,Intermediário
"1,40748","1,41412","3,39343","3,41369",2002-01-25 15:30:00.0,Intermediário
"1,40588","1,41252","3,38676","3,40559",2002-01-25 16:00:00.0,Intermediário
"1,40419","1,41082","3,38269","3,40149",2002-01-25 16:30:00.0,Fechamento Interbancário
"1,4068","1,4092","3,38167","3,38856",2002-01-25 17:30:00.0,Fechamento
"1,40329","1,40991","3,37351","3,40352",2002-01-28 09:39:00.0,Abertura
"1,40239","1,40901","3,37696","3,39571",2002-01-28 10:00:00.0,Intermediário
"1,40259","1,40921","3,38585","3,40465",2002-01-28 10:30:00.0,Intermediário
"1,40409","1,41072","3,39649","3,41535",2002-01-28 11:00:00.0,Intermediário
"1,40498","1,41162","3,40567","3,42459",2002-01-28 11:30:00.0,Intermediário
"1,40488","1,41152","3,41105","3,42999",2002-01-28 12:00:00.0,Intermediário
"1,40588","1,41252","3,40223","3,42395",2002-01-28 12:30:00.0,Intermediário
"1,40518","1,41182","3,40335","3,42225",2002-01-28 13:00:00.0,Intermediário
"1,40618","1,41282","3,40577","3,42468",2002-01-28 13:30:00.0,Intermediário
"1,40668","1,41332","3,40698","3,42589",2002-01-28 14:09:00.0,Intermediário
"1,40618","1,41282","3,40577","3,42468",2002-01-28 14:30:00.0,Intermediário
"1,40449","1,41112","3,41291","3,43184",2002-01-28 15:00:00.0,Intermediário
"1,40608","1,41272","3,40834","3,42726",2002-01-28 15:30:00.0,Intermediário
"1,40568","1,41232","3,40315","3,42205",2002-01-28 16:00:00.0,Intermediário
"1,40508","1,41172","3,4031","3,42342",2002-01-28 16:30:00.0,Fechamento Interbancário
"1,4073","1,4097","3,40848","3,41542",2002-01-28 18:02:00.0,Fechamento
"1,40758","1,41422","3,40494","3,43514",2002-01-29 09:44:00.0,Abertura
"1,40748","1,41412","3,41455","3,43348",2002-01-29 10:00:00.0,Intermediário
"1,40938","1,41603","3,41352","3,43246",2002-01-29 10:30:00.0,Intermediário
"1,40838","1,41502","3,40687","3,42576",2002-01-29 11:00:00.0,Intermediário
"1,40778","1,41442","3,40683","3,42714",2002-01-29 11:30:00.0,Intermediário
"1,40798","1,41462","3,40168","3,42055",2002-01-29 12:00:00.0,Intermediário
"1,40768","1,41432","3,39955","3,41841",2002-01-29 12:30:00.0,Intermediário
"1,40848","1,41512","3,40852","3,42742",2002-01-29 13:00:00.0,Intermediário
"1,40798","1,41462","3,40872","3,42762",2002-01-29 13:30:00.0,Intermediário
"1,40768","1,41432","3,40799","3,4269",2002-01-29 14:00:00.0,Intermediário
"1,41077","1,41743","3,41547","3,43443",2002-01-29 14:30:00.0,Intermediário
"1,41037","1,41703","3,4272","3,44622",2002-01-29 15:00:00.0,Intermediário
"1,41077","1,41743","3,44369","3,46278",2002-01-29 15:30:00.0,Intermediário
"1,41057","1,41723","3,43615","3,45521",2002-01-29 16:07:00.0,Intermediário
"1,41007","1,41673","3,43493","3,45399",2002-01-29 16:30:00.0,Fechamento Interbancário
"1,41319","1,41561","3,42359","3,43059",2002-01-29 17:53:00.0,Fechamento
"1,41167","1,41833","3,44165","3,47207",2002-01-30 09:47:00.0,Abertura
"1,41307","1,41973","3,44224","3,46272",2002-01-30 10:00:00.0,Intermediário
"1,41187","1,41853","3,44073","3,45838",2002-01-30 10:30:00.0,Intermediário
"1,41217","1,41883","3,44428","3,46336",2002-01-30 11:00:00.0,Intermediário
"1,40997","1,41663","3,43469","3,45233",2002-01-30 11:30:00.0,Intermediário
"1,40838","1,41502","3,42518","3,44274",2002-01-30 12:00:00.0,Intermediário
